,Name,Location,Magnitude,URL
627,M 7.1 - 2025 Southern Tibetan Plateau Earthquake,2025 Southern Tibetan Plateau Earthquake,7.1,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pi9w
972,"M 6.2 - 50 km SSE of La Libertad, El Salvador","50 km SSE of La Libertad, El Salvador",6.2,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pi09
1699,"M 6.1 - 84 km NNW of Calama, Chile","84 km NNW of Calama, Chile",6.1,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phap
15,"M 5.8 - 9 km E of Acajutla, El Salvador","9 km E of Acajutla, El Salvador",5.8,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pixh
1366,"M 5.7 - 54 km N of Āwash, Ethiopia","54 km N of Āwash, Ethiopia",5.7,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phrk
306,"M 5.7 - Southern Qinghai, China","Southern Qinghai, China",5.7,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pijd
524,"M 5.6 - Izu Islands, Japan region","Izu Islands, Japan region",5.6,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pida
1456,"M 5.5 - 44 km NE of Āwash, Ethiopia","44 km NE of Āwash, Ethiopia",5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phnz
1629,M 5.5 - South Sandwich Islands region,South Sandwich Islands region,5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phce
1637,"M 5.4 - 62 km NW of Rabaul, Papua New Guinea","62 km NW of Rabaul, Papua New Guinea",5.4,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phc9
1149,"M 5.3 - 8 km E of Lakatoro, Vanuatu","8 km E of Lakatoro, Vanuatu",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phws
970,"M 5.3 - 72 km NW of Rabaul, Papua New Guinea","72 km NW of Rabaul, Papua New Guinea",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pi0k
175,M 5.3 - Drake Passage,Drake Passage,5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us6000piqu
372,"M 5.3 - 25 km NNE of Āwash, Ethiopia","25 km NNE of Āwash, Ethiopia",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pihw
